Bắt đầu quá trình đánh giá
Đã xử lý xong dòng 1/1683
Đã xử lý xong dòng 2/1683
Đã xử lý xong dòng 3/1683
Đã xử lý xong dòng 4/1683
Đã xử lý xong dòng 5/1683
Đã xử lý xong dòng 6/1683
Đã xử lý xong dòng 7/1683
Đã xử lý xong dòng 8/1683
Đã xử lý xong dòng 9/1683
Đã xử lý xong dòng 10/1683
Đã xử lý xong dòng 11/1683
Đã xử lý xong dòng 12/1683
Đã xử lý xong dòng 13/1683
Đã xử lý xong dòng 14/1683
Đã xử lý xong dòng 15/1683
Đã xử lý xong dòng 16/1683
Đã xử lý xong dòng 17/1683
Đã xử lý xong dòng 18/1683
Đã xử lý xong dòng 19/1683
Đã xử lý xong dòng 20/1683
Lỗi tại dòng 21: list index out of range
Đã xử lý xong dòng 22/1683
Đã xử lý xong dòng 23/1683
Đã xử lý xong dòng 24/1683
Đã xử lý xong dòng 25/1683
Đã xử lý xong dòng 26/1683
Đã xử lý xong dòng 27/1683
Đã xử lý xong dòng 28/1683
Đã xử lý xong dòng 29/1683
Đã xử lý xong dòng 30/1683
Đã xử lý xong dòng 31/1683
Đã xử lý xong dòng 32/1683
Đã xử lý xong dòng 33/1683
Đã xử lý xong dòng 34/1683
Đã xử lý xong dòng 35/1683
Đã xử lý xong dòng 36/1683
Đã xử lý xong dòng 37/1683
Đã xử lý xong dòng 38/1683
Đã xử lý xong dòng 39/1683
Đã xử lý xong dòng 40/1683
Đã xử lý xong dòng 41/1683
Đã xử lý xong dòng 42/1683
Đã xử lý xong dòng 43/1683
Đã xử lý xong dòng 44/1683
Đã xử lý xong dòng 45/1683
Đã xử lý xong dòng 46/1683
Đã xử lý xong dòng 47/1683
Đã xử lý xong dòng 48/1683
Đã xử lý xong dòng 49/1683
Đã xử lý xong dòng 50/1683
Đã xử lý xong dòng 51/1683
Đã xử lý xong dòng 52/1683
Đã xử lý xong dòng 53/1683
Đã xử lý xong dòng 54/1683
Đã xử lý xong dòng 55/1683
Đã xử lý xong dòng 56/1683
Đã xử lý xong dòng 57/1683
Đã xử lý xong dòng 58/1683
Đã xử lý xong dòng 59/1683
Đã xử lý xong dòng 60/1683
Đã xử lý xong dòng 61/1683
Đã xử lý xong dòng 62/1683
Đã xử lý xong dòng 63/1683
Đã xử lý xong dòng 64/1683
Đã xử lý xong dòng 65/1683
Đã xử lý xong dòng 66/1683
Đã xử lý xong dòng 67/1683
Đã xử lý xong dòng 68/1683
Đã xử lý xong dòng 69/1683
Đã xử lý xong dòng 70/1683
Đã xử lý xong dòng 71/1683
Đã xử lý xong dòng 72/1683
Đã xử lý xong dòng 73/1683
Đã xử lý xong dòng 74/1683
Đã xử lý xong dòng 75/1683
Đã xử lý xong dòng 76/1683
Đã xử lý xong dòng 77/1683
Đã xử lý xong dòng 78/1683
Đã xử lý xong dòng 79/1683
Đã xử lý xong dòng 80/1683
Đã xử lý xong dòng 81/1683
Đã xử lý xong dòng 82/1683
Đã xử lý xong dòng 83/1683
Đã xử lý xong dòng 84/1683
Đã xử lý xong dòng 85/1683
Đã xử lý xong dòng 86/1683
Đã xử lý xong dòng 87/1683
Đã xử lý xong dòng 88/1683
Đã xử lý xong dòng 89/1683
Đã xử lý xong dòng 90/1683
Đã xử lý xong dòng 91/1683
Đã xử lý xong dòng 92/1683
Đã xử lý xong dòng 93/1683
Đã xử lý xong dòng 94/1683
Đã xử lý xong dòng 95/1683
Đã xử lý xong dòng 96/1683
Đã xử lý xong dòng 97/1683
Đã xử lý xong dòng 98/1683
Đã xử lý xong dòng 99/1683
Đã xử lý xong dòng 100/1683
Đã xử lý xong dòng 101/1683
Đã xử lý xong dòng 102/1683
Đã xử lý xong dòng 103/1683
Đã xử lý xong dòng 104/1683
Đã xử lý xong dòng 105/1683
Đã xử lý xong dòng 106/1683
Đã xử lý xong dòng 107/1683
Đã xử lý xong dòng 108/1683
Đã xử lý xong dòng 109/1683
Đã xử lý xong dòng 110/1683
